CHR	原始拆分	替换拆分
面	面一丿丨ㄋ丨	面一丿丨ㄋ丨
起	走巴ㄋ一ㄋㄋ	走巴ㄋ一ㄋㄋ
看	手目丨ㄋ一一	手目丨ㄋ一一
定	定丶丶ㄋ一丨	定丶丶ㄋ一丨
天	天一一丿丶丶	天一一丿丶丶
分	分丿丶ㄋ丿丿	分丿丶ㄋ丿丿
还	不辶丶ㄋ丶丶	不辶丶ㄋ丶丶
进	二辶丶ㄋ丶丶	二辶丶ㄋ丶丶
好	女子ㄋ丨一一	女子ㄋ丨一一
小	小丨丿丶丶丶	小丨丿丶丶丶
部	立口ㄋ丨丨丨	立口ㄋ丨丨丨
其	其一丨丨一一	其一丨丨一一
些	此二一一一一	此二一一一一
主	主丶一一丨一	主丶一一丨一
样	木羊丶丿一一	木羊丶丿一一
理	王田丨ㄋ一一	王田丨ㄋ一一
心	心丶ㄋ丶丶丶	心丶ㄋ丶丶丶
她	女也ㄋ丨ㄋㄋ	女也ㄋ丨ㄋㄋ
本	木笔一一一一	木笔一一一一
前	前丶丿一丨ㄋ	前丶丿一丨ㄋ
开	开一一丿丨丨	开一一丿丨丨
但	亻旦丨ㄋ一一	亻旦丨ㄋ一一
因	因丨ㄋ一丿丶	因丨ㄋ一丿丶
只	口八丿丶丶丶	口八丿丶丶丶
从	从丿丶丿丶丶	从丿丶丿丶丶
想	相心丶ㄋ丶丶	相心丶ㄋ丶丶
实	宀冫一丿丶丶	宀冫一丿丶丶
日	日丨ㄋ一一一	日丨ㄋ一一一
军	冖车一ㄋ一丨	冖车一ㄋ一丨
者	者一丨一丿丨	者一丨一丿丨
意	音心丶ㄋ丶丶	音心丶ㄋ丶丶
无	笔尢一丿ㄋㄋ	笔尢一丿ㄋㄋ
力	力ㄋ丿丿丿丿	力ㄋ丿丿丿丿
它	宀七丿ㄋㄋㄋ	宀七丿ㄋㄋㄋ
与	与笔一一一一	与笔一一一一
长	长丿一ㄋ丶丶	长丿一ㄋ丶丶
把	扌巴ㄋ丨一ㄋ	扌巴ㄋ丨一ㄋ
机	木几丿ㄋㄋㄋ	木几丿ㄋㄋㄋ
十	十一丨丨丨丨	十一丨丨丨丨
民	民ㄋ一ㄋ一ㄋ	民ㄋ一ㄋ一ㄋ
第	弓丨丿丿丿	弓丨丿丿丿
公	公丿丶ㄋ丶丶	公丿丶ㄋ丶丶
此	此丨一丨一丿	此丨一丨一丿
已	巴ㄋ一ㄋㄋㄋ	巴ㄋ一ㄋㄋㄋ
工	工一丨一一一	工一丨一一一
使	亻鬲丿丶丶丶	亻鬲丿丶丶丶
情	忄青一一丨一	忄青一一丨一
明	日月丿ㄋ一一	日月丿ㄋ一一
性	忄生丿一一丨	忄生丿一一丨
知	矢口丨ㄋ一一	矢口丨ㄋ一一
全	人王一一丨一	人王一一丨一
三	三一一一一一	三一一一一一
又	双ㄋ丶丶丶丶	双ㄋ丶丶丶丶
关	䒑大一丿丶丶	首大一丿丶丶
点	占水丶丶丶丶	占水丶丶丶丶
正	正一丨一丨一	正一丨一丨一
业	业丨丨丶丿一	业丨丨丶丿一
外	歹卜丨丶丶丶	歹卜丨丶丶丶
将	北歹一丨丶丶	北歹一丨丶丶
两	丙从丿丶丿丶	丙从丿丶丿丶
高	口丨ㄋ一一	口丨ㄋ一一
间	门日丨ㄋ一一	门日丨ㄋ一一
由	甲丨ㄋ一丨一	甲丨ㄋ一丨一
问	门口丨ㄋ一一	门口丨ㄋ一一
很	彳艮ㄋ一一ㄋ	彳艮ㄋ一一ㄋ
最	日耳ㄋ丶丶丶	日耳ㄋ丶丶丶
重	舌田丨ㄋ一一	舌田丨ㄋ一一
并	䒑开一丿丨丨	首开一丿丨丨
物	牛勿丿ㄋ丿丿	牛勿丿ㄋ丿丿
手	手丿一一丨丨	手丿一一丨丨
应	广丶丶丿一	广丶丶丿一
战	占戋一ㄋ丿丶	占戋一ㄋ丿丶
向	口丨ㄋ一一	口丨ㄋ一一
头	冫大一丿丶丶	冫大一丿丶丶
文	文丶一丿丶丶	文丶一丿丶丶
体	亻木一一一一	亻木一一一一
政	正文丿一丿丶	正文丿一丿丶
美	羊大一丿丶丶	羊大一丿丶丶
相	相一丨丿丶丨	相一丨丿丶丨
见	见丨ㄋ丿ㄋㄋ	见丨ㄋ丿ㄋㄋ
被	衤皮ㄋ丿丨ㄋ	衤皮ㄋ丿丨ㄋ
利	禾刂丨丨丨丨	禾刂丨丨丨丨
什	亻十一丨丨丨	亻十一丨丨丨
二	二一一一一一	二一一一一一
等	土一丨丶丶	土一丨丶丶
产	立广一丿丿丿	立广一丿丿丿
或	戋口一一一一	戋口一一一一
新	立木丿丿一丨	立木丿丿一丨
己	巴ㄋ一ㄋㄋㄋ	巴ㄋ一ㄋㄋㄋ
制	巾丨丨丨丨	巾丨丨丨丨
身	身丿丨ㄋ一一	身丿丨ㄋ一一
果	日木一丨丿丶	日木一丨丿丶
加	加ㄋ丿丨ㄋ一	加ㄋ丿丨ㄋ一
西	西一丨ㄋ丿ㄋ	西一丨ㄋ丿ㄋ
斯	其丘丿丿一丨	其丘丿丿一丨
月	月丿ㄋ一一一	月丿ㄋ一一一
话	讠舌丿一丨丨	讠舌丿一丨丨
合	合丿丶一丨ㄋ	合丿丶一丨ㄋ
回	回丨ㄋ丨ㄋ一	回丨ㄋ丨ㄋ一
特	牛土一丨丶丶	牛土一丨丶丶
代	代丿丨一ㄋ丶	代丿丨一ㄋ丶
内	内丨ㄋ丿丶丶	内丨ㄋ丿丶丶
信	亻讠丶一一一	亻讠丶一一一
表	丰衣丿ㄋ丿丶	丰衣丿ㄋ丿丶
化	化丿丨丿ㄋㄋ	化丿丨丿ㄋㄋ
老	者七丿ㄋㄋㄋ	者七丿ㄋㄋㄋ
给	纟合丿丶一丨	纟合丿丶一丨
世	甘乙ㄋㄋㄋㄋ	甘乙ㄋㄋㄋㄋ
位	亻立丶一丶丿	亻立丶一丶丿
次	次丶一丿ㄋ丿	次丶一丿ㄋ丿
度	度双ㄋ丶丶丶	度双ㄋ丶丶丶
门	门丶丨ㄋㄋㄋ	门丶丨ㄋㄋㄋ
任	亻王丿一丨一	亻王丿一丨一
常	巾丨ㄋ丨丨	巾丨ㄋ丨丨
先	先丿一丨一丿	先丿一丨一丿
海	氵ㄋㄋ丶一	氵ㄋㄋ丶一
通	甬辶丶ㄋ丶丶	甬辶丶ㄋ丶丶
教	者子丿一丿丶	者子丿一丿丶
儿	儿丿ㄋㄋㄋㄋ	儿丿ㄋㄋㄋㄋ
原	广白丨丿丶丶	广白丨丿丶丶
东	车小丨丿丶丶	车小丨丿丶丶
声	土尸ㄋ丨一丿	土尸ㄋ丨一丿
提	扌是丨ㄋ一一	扌是丨ㄋ一一
立	立丶一丶丿一	立丶一丶丿一
及	及丿ㄋ丶丶丶	及丿ㄋ丶丶丶
比	比一ㄋ丿ㄋㄋ	比一ㄋ丿ㄋㄋ
员	口贝丨ㄋ丿丶	口贝丨ㄋ丿丶
解	角刀丿一一丨	角刀丿一一丨
水	水丨ㄋ丿丶丶	水丨ㄋ丿丶丶
名	歹口丨ㄋ一一	歹口丨ㄋ一一
真	直八丿丶丶丶	直八丿丶丶丶
论	讠仑丿丶丿ㄋ	讠仑丿丶丿ㄋ
处	文卜丨丶丶丶	文卜丨丶丶丶
走	走一丨一丨一	走一丨一丨一
义	义丶丿丶丶丶	义丶丿丶丶丶
各	各丿ㄋ丶丨ㄋ	各丿ㄋ丶丨ㄋ
入	入丿丶丶丶丶	入丿丶丶丶丶
几	几丿ㄋㄋㄋㄋ	几丿ㄋㄋㄋㄋ
口	口丨ㄋ一一一	口丨ㄋ一一一
认	讠人丿丶丶丶	讠人丿丶丶丶
条	文木一丨丿丶	文木一丨丿丶
平	平一丶丿一丨	平一丶丿一丨
系	笔糸ㄋㄋ丶丨	笔糸ㄋㄋ丶丨
气	气丿一一ㄋㄋ	气丿一一ㄋㄋ
题	是页一丿丨ㄋ	是页一丿丨ㄋ
活	氵舌丿一丨丨	氵舌丿一丨丨
尔	尔丿ㄋ丨丿丶	尔丿ㄋ丨丿丶
更	更一丨ㄋ一一	更一丨ㄋ一一
别	口力丨丨丨丨	口力丨丨丨丨
打	扌于一丨丨丨	扌于一丨丨丨
女	女ㄋ丿一一一	女ㄋ丿一一一
变	亦双ㄋ丶丶丶	亦双ㄋ丶丶丶
四	口儿丿ㄋㄋㄋ	口儿丿ㄋㄋㄋ
神	衤日丨丨丨丨	衤日丨丨丨丨
总	𠮦心丶ㄋ丶丶	兑心丶ㄋ丶丶
何	亻可一丨ㄋ一	亻可一丨ㄋ一
电	日乙ㄋㄋㄋㄋ	日乙ㄋㄋㄋㄋ
数	米女丿一丿丶	米女丿一丿丶
安	宀女ㄋ丿一一	宀女ㄋ丿一一
少	少丨丿丶丿丿	少丨丿丶丿丿
报	扌卩ㄋ丶丶丶	扌卩ㄋ丶丶丶
才	才一丨丿丿丿	才一丨丿丿丿
结	纟吉一丨一丨	纟吉一丨一丨
反	广双ㄋ丶丶丶	广双ㄋ丶丶丶
受	双ㄋ丶丶丶	双ㄋ丶丶丶
目	目丨ㄋ一一一	目丨ㄋ一一一
太	大笔丶丶丶丶	大笔丶丶丶丶
量	旦田丨ㄋ一一	旦田丨ㄋ一一
再	丙土一丨一一	丙土一丨一一
感	戊鬲丶ㄋ丶丶	戊鬲丶ㄋ丶丶
建	聿辶ㄋ丶丶丶	聿辶ㄋ丶丶丶
务	文力ㄋ丿丿丿	文力ㄋ丿丿丿
做	亻古丿一丿丶	亻古丿一丿丶
接	扌立ㄋ丿一一	扌立ㄋ丿一一
必	心笔丿丿丿丿	心笔丿丿丿丿
场	土㇉丿丿丿丿	土Z丿丿丿丿
件	亻牛丿一一丨	亻牛丿一一丨
计	讠十一丨丨丨	讠十一丨丨丨
管	宀丨ㄋ一ㄋ	宀丨ㄋ一ㄋ
期	其月丿ㄋ一一	其月丿ㄋ一一
市	亠巾丨ㄋ丨丨	亠巾丨ㄋ丨丨
直	直一丨丨ㄋ	直一丨丨ㄋ
德	彳十丨ㄋ丨丨	彳十丨ㄋ丨丨
资	次贝丨ㄋ丿丶	次贝丨ㄋ丿丶
命	亼口ㄋ丨丨丨	亼口ㄋ丨丨丨
山	山丨ㄋ丨丨丨	山丨ㄋ丨丨丨
金	金丿丶一一丨	金丿丶一一丨
指	扌七丨ㄋ一一	扌七丨ㄋ一一
克	古儿丿ㄋㄋㄋ	古儿丿ㄋㄋㄋ
许	讠一丨丨丨	讠一丨丨丨
统	纟亡丿ㄋㄋㄋ	纟亡丿ㄋㄋㄋ
区	区一丿丶ㄋㄋ	区一丿丶ㄋㄋ
保	亻呆丨ㄋ一一	亻呆丨ㄋ一一
至	至一ㄋ丶一丨	至一ㄋ丶一丨
队	耳人丿丶丶丶	耳人丿丶丶丶
形	开川丿丿丿丿	开川丿丿丿丿
社	衤土一丨一一	衤土一丨一一
便	亻更一丨ㄋ一	亻更一丨ㄋ一
空	穴工一丨一一	穴工一丨一一
决	冫匚丿丶丶丶	冫匚丿丶丶丶
治	氵厶丨ㄋ一一	氵厶丨ㄋ一一
展	尸共ㄋ丿丶丶	尸共ㄋ丿丶丶
马	马ㄋㄋ一一一	马ㄋㄋ一一一
科	禾冫一丨丨丨	禾冫一丨丨丨
司	㇉鬲一丨ㄋ一	Z鬲一丨ㄋ一
五	五一丨ㄋ一一	五一丨ㄋ一一
基	其土一丨一一	其土一丨一一
眼	目艮ㄋ一一ㄋ	目艮ㄋ一一ㄋ
书	㇉㇉丨丶丶丶	ZZ丨丶丶丶
非	非丨一一一丨	非丨一一一丨
则	贝刂丨丨丨丨	贝刂丨丨丨丨
听	口丘丿丿一丨	口丘丿丿一丨
白	白丿丨ㄋ一一	白丿丨ㄋ一一
却	去卩ㄋ丨丨丨	去卩ㄋ丨丨丨
界	田人丿丨丨丨	田人丿丨丨丨
达	大辶丶ㄋ丶丶	大辶丶ㄋ丶丶
光	光丨丶丿一丿	光丨丶丿一丿
放	方文丿一丿丶	方文丿一丿丶
强	弓口丨ㄋ一丨	弓口丨ㄋ一丨
即	卩ㄋ丨丨丨	卩ㄋ丨丨丨
像	亻象丿ㄋ丨ㄋ	亻象丿ㄋ丨ㄋ
难	双隹丿丨丶一	双隹丿丨丶一
且	目丨ㄋ一一一	目丨ㄋ一一一
权	木双ㄋ丶丶丶	木双ㄋ丶丶丶
思	田心丶ㄋ丶丶	田心丶ㄋ丶丶
王	王一一丨一一	王一一丨一一
象	象丿ㄋ丨ㄋ一	象丿ㄋ丨ㄋ一
完	宀元一一丿ㄋ	宀元一一丿ㄋ
设	讠殳丿ㄋㄋ丶	讠殳丿ㄋㄋ丶
式	戋工一丨一一	戋工一丨一一
色	鱼巴ㄋ丨一ㄋ	鱼巴ㄋ丨一ㄋ
路	各丿ㄋ丶丨	各丿ㄋ丶丨
记	讠巴ㄋ一ㄋㄋ	讠巴ㄋ一ㄋㄋ
南	十冂丶丿一一	十冂丶丿一一
品	口吅丨ㄋ一丨	口吅丨ㄋ一丨
住	亻主丶一一丨	亻主丶一一丨
告	告丿一丨一丨	告丿一丨一丨
类	米大一丿丶丶	米大一丿丶丶
求	求一丨丶一丿	求一丨丶一丿
据	扌尸一丨丨ㄋ	扌尸一丨丨ㄋ
程	禾口一一丨一	禾口一一丨一
北	北丨一一丿ㄋ	北丨一一丿ㄋ
边	力辶丶ㄋ丶丶	力辶丶ㄋ丶丶
死	歹七丿ㄋㄋㄋ	歹七丿ㄋㄋㄋ
张	弓长丿一ㄋ丶	弓长丿一ㄋ丶
该	讠亥丶一ㄋ丿	讠亥丶一ㄋ丿
交	六乂丿丶丶丶	六乂丿丶丶丶
规	夫见丨ㄋ丿ㄋ	夫见丨ㄋ丿ㄋ
万	力一ㄋ丿丿丿	力一ㄋ丿丿丿
取	耳双ㄋ丶丶丶	耳双ㄋ丶丶丶
拉	扌立丶一丶丿	扌立丶一丶丿
格	木各丿ㄋ丶丨	木各丿ㄋ丶丨
望	亡月一一丨一	亡月一一丨一
觉	见丨ㄋ丿ㄋ	见丨ㄋ丿ㄋ
术	木笔丶丶丶丶	木笔丶丶丶丶
领	令页一丿丨ㄋ	令页一丿丨ㄋ
共	共一丨丨一	共一丨丨一
确	石角丿ㄋ丿ㄋ	石角丿ㄋ丿ㄋ
传	亻二ㄋ丶丶丶	亻二ㄋ丶丶丶
师	刂笔丨ㄋ丨丨	刂笔丨ㄋ丨丨
观	双见丨ㄋ丿ㄋ	双见丨ㄋ丿ㄋ
清	氵青一一丨一	氵青一一丨一
今	令丿丶丶ㄋㄋ	令丿丶丶ㄋㄋ
切	七刀ㄋ丿丿丿	七刀ㄋ丿丿丿
院	耳宀一一丿ㄋ	耳宀一一丿ㄋ
让	讠上丨一一一	讠上丨一一一
识	讠口丿丶丶丶	讠口丿丶丶丶
候	亻匚丿一一丿	亻匚丿一一丿
带	艹冖丨ㄋ丨丨	艹冖丨ㄋ丨丨
导	巴寸一丨丶丶	巴寸一丨丶丶
争	争丿ㄋㄋ一一	争丿ㄋㄋ一一
运	云辶丶ㄋ丶丶	云辶丶ㄋ丶丶
笑	天丿一丿丶	天丿一丿丶
飞	乙冫丿丶丶丶	乙冫丿丶丶丶
风	几乂丿丶丶丶	几乂丿丶丶丶
步	止小丨丿丿丿	止小丨丿丿丿
改	巴文丿一丿丶	巴文丿一丿丶
收	丩文丿一丿丶	丩文丿一丿丶
根	木艮ㄋ一一ㄋ	木艮ㄋ一一ㄋ
干	舌一一丨丨丨	舌一一丨丨丨
造	告辶丶ㄋ丶丶	告辶丶ㄋ丶丶
言	讠丶一一一丨	讠丶一一一丨
联	耳䒑一丿丶丶	耳首一丿丶丶
持	扌土一丨丶丶	扌土一丨丶丶
组	纟目丨ㄋ一一	纟目丨ㄋ一一
每	母ㄋㄋ丶一	母ㄋㄋ丶一
济	氵文丿丨丨丨	氵文丿丨丨丨
车	车一ㄋ一丨丨	车一ㄋ一丨丨
亲	立木一丨丿丶	立木一丨丿丶
极	木及丿ㄋ丶丶	木及丿ㄋ丶丶
林	林一丨丿丶一	林一丨丿丶一
服	月卩ㄋ丶丶丶	月卩ㄋ丶丶丶
快	忄匚丿丶丶丶	忄匚丿丶丶丶
办	力八丿丶丶丶	力八丿丶丶丶
议	讠义丶丿丶丶	讠义丶丿丶丶
往	彳主丶一一丨	彳主丶一一丨
元	元一一丿ㄋㄋ	元一一丿ㄋㄋ
英	艹冂一丿丶丶	艹冂一丿丶丶
士	土一丨一一一	土一丨一一一
证	讠正一丨一丨	讠正一丨一丨
近	丘辶丶ㄋ丶丶	丘辶丶ㄋ丶丶
失	笔夫一一丿丶	笔夫一一丿丶
转	车二ㄋ丶丶丶	车二ㄋ丶丶丶
夫	夫一一丿丶丶	夫一一丿丶丶
令	令丿丶丶ㄋ丶	令丿丶丶ㄋ丶
准	冫隹丿丨丶一	冫隹丿丨丶一
布	石巾丨ㄋ丨丨	石巾丨ㄋ丨丨
始	女厶丨ㄋ一一	女厶丨ㄋ一一
怎	乍心丶ㄋ丶丶	乍心丶ㄋ丶丶
呢	口尸丿ㄋㄋㄋ	口尸丿ㄋㄋㄋ
存	子ㄋ丨一一	子ㄋ丨一一
未	未丨丿丶丶丶	未丨丿丶丶丶
远	元辶丶ㄋ丶丶	元辶丶ㄋ丶丶
叫	口丩ㄋ丨丨丨	口丩ㄋ丨丨丨
台	厶口丨ㄋ一一	厶口丨ㄋ一一
单	单丶丿丨ㄋ一	单丶丿丨ㄋ一
影	日京丿丿丿丿	日京丿丿丿丿
具	目八丿丶丶丶	目八丿丶丶丶
罗	四歹丿ㄋ丶丶	四歹丿ㄋ丶丶
字	宀子ㄋ丨一一	宀子ㄋ丨一一
爱	石ㄋ丶丶丶	石ㄋ丶丶丶
击	土冂ㄋ丨丨丨	土冂ㄋ丨丨丨
流	氵亡丿丨ㄋㄋ	氵亡丿丨ㄋㄋ
备	文田丨ㄋ一丨	文田丨ㄋ一丨
兵	丘八丿丶丶丶	丘八丿丶丶丶
连	车辶丶ㄋ丶丶	车辶丶ㄋ丶丶
调	讠冂一丨一丨	讠冂一丨一丨
深	氵冖丿丶一丨	氵冖丿丶一丨
商	立冂丿丶丨ㄋ	立冂丿丶丨ㄋ
算	目一丿丨丨	目一丿丨丨
质	广十丨ㄋ丿丶	广十丨ㄋ丿丶
团	口㇉一丨丿丿	口Z一丨丿丿
集	隹木一丨丿丶	隹木一丨丿丶
百	笔白丿丨ㄋ一	笔白丿丨ㄋ一
需	而一丿丨ㄋ	而一丿丨ㄋ
价	亻人丿丨丨丨	亻人丿丨丨丨
花	艹化丿丨丿ㄋ	艹化丿丨丿ㄋ
党	儿丿ㄋㄋㄋ	儿丿ㄋㄋㄋ
华	化十一丨丨丨	化十一丨丨丨
城	土戊ㄋㄋㄋㄋ	土戊ㄋㄋㄋㄋ
石	石一丿丨ㄋ一	石一丿丨ㄋ一
级	纟及丿ㄋ丶丶	纟及丿ㄋ丶丶
整	束文一丨一丨	束文一丨一丨
府	广亻一丨丶丶	广亻一丨丶丶
离	㐫内丨ㄋㄋ丶	离内丨ㄋㄋ丶
况	冫口丿ㄋㄋㄋ	冫口丿ㄋㄋㄋ
亚	亚一丨丨丶丿	亚一丨丨丶丿
请	讠青一一丨一	讠青一一丨一
技	扌十ㄋ丶丶丶	扌十ㄋ丶丶丶
际	耳示一一丨丿	耳示一一丨丿
约	纟勹丶丶丶丶	纟勹丶丶丶丶
示	示一一丨丿丶	示一一丨丿丶
复	日丿ㄋ丶丶	日丿ㄋ丶丶
病	疒丙丿丶丿丶	疒丙丿丶丿丶
息	自心丶ㄋ丶丶	自心丶ㄋ丶丶
究	穴九丿ㄋㄋㄋ	穴九丿ㄋㄋㄋ
线	纟戋一一ㄋ丿	纟戋一一ㄋ丿
似	亻以ㄋ丶丿丶	亻以ㄋ丶丿丶
官	宀吅丨ㄋ一ㄋ	宀吅丨ㄋ一ㄋ
火	火丶丿丿丶丶	火丶丿丿丶丶
断	米乙丿丿一丨	米乙丿丿一丨
精	米青一一丨一	米青一一丨一
满	氵艹一丨ㄋ丿	氵艹一丨ㄋ丿
支	十双ㄋ丶丶丶	十双ㄋ丶丶丶
视	衤见丨ㄋ丿ㄋ	衤见丨ㄋ丿ㄋ
消	氵丨ㄋ一一	氵丨ㄋ一一
越	走戊一ㄋㄋ丿	走戊一ㄋㄋ丿
器	吅犬丨ㄋ一丨	吅犬丨ㄋ一丨
容	穴人丨ㄋ一一	穴人丨ㄋ一一
照	日刀丨ㄋ一丶	日刀丨ㄋ一丶
须	川页一丿丨ㄋ	川页一丿丨ㄋ
九	九丿ㄋㄋㄋㄋ	九丿ㄋㄋㄋㄋ
增	土曾丶丿丨ㄋ	土曾丶丿丨ㄋ
研	石开一一丿丨	石开一一丿丨
写	冖与一一一一	冖与一一一一
称	禾尔丿ㄋ丨丿	禾尔丿ㄋ丨丿
企	人止丨一丨一	人止丨一丨一
八	八丿丶丶丶丶	八丿丶丶丶丶
功	工力ㄋ丿丿丿	工力ㄋ丿丿丿
吗	口马ㄋㄋ一一	口马ㄋㄋ一一
包	勹巴ㄋ一ㄋㄋ	勹巴ㄋ一ㄋㄋ
片	片丿丨一ㄋㄋ	片丿丨一ㄋㄋ
史	口乂丿丶丶丶	口乂丿丶丶丶
委	禾女ㄋ丿一一	禾女ㄋ丿一一
乎	乎丿丶丿一丨	乎丿丶丿一丨
查	木旦丨ㄋ一一	木旦丨ㄋ一一
轻	车轻ㄋ丶一丨	车轻ㄋ丶一丨
易	日勿丿ㄋ丿丿	日勿丿ㄋ丿丿
早	日十一丨丨丨	日十一丨丨丨
曾	曾丶丿丨ㄋ丨	曾丶丿丨ㄋ丨
除	耳亼一丨丿丶	耳亼一丨丿丶
农	农丶ㄋ丿ㄋ丿	农丶ㄋ丿ㄋ丿
找	扌戋一ㄋ丿丶	扌戋一ㄋ丿丶
装	北土丶一丿ㄋ	北土丶一丿ㄋ
广	广丶一丿丿丿	广丶一丿丿丿
显	日业丨丨丶丿	日业丨丨丶丿
吧	口巴ㄋ丨一ㄋ	口巴ㄋ丨一ㄋ
阿	耳可一丨ㄋ一	耳可一丨ㄋ一
李	木子ㄋ丨一一	木子ㄋ丨一一
标	木示一一丨丿	木示一一丨丿
谈	讠火丶丿丿丶	讠火丶丿丿丶
吃	口ㄋㄋㄋㄋ	口ㄋㄋㄋㄋ
图	口文丶丶丶丶	口文丶丶丶丶
念	令心丶ㄋ丶丶	令心丶ㄋ丶丶
六	六丶一丿丶丶	六丶一丿丶丶
引	弓笔丨丨丨丨	弓笔丨丨丨丨
历	广力ㄋ丿丿丿	广力ㄋ丿丿丿
首	䒑自丿丨ㄋ一	首自丿丨ㄋ一
医	匚矢丿一一丿	匚矢丿一一丿
局	尸㇉丨ㄋ一一	尸Z丨ㄋ一一
突	穴犬一丿丶丶	穴犬一丿丶丶
专	二㇉丶丶丶丶	二Z丶丶丶丶
费	弓刂丨ㄋ丿丶	弓刂丨ㄋ丿丶
号	口丂一ㄋㄋㄋ	口丂一ㄋㄋㄋ
尽	尺冫丶丶丶丶	尺冫丶丶丶丶
另	口力ㄋ丿丿丿	口力ㄋ丿丿丿
周	冂吉一丨一丨	冂吉一丨一丨
较	车六丿丶丶丶	车六丿丶丶丶
注	氵主丶一一丨	氵主丶一一丨
语	讠五丨ㄋ一一	讠五丨ㄋ一一
仅	亻双ㄋ丶丶丶	亻双ㄋ丶丶丶
考	者与一ㄋㄋㄋ	者与一ㄋㄋㄋ
